product_master_id,artist_id,artist_name,product_id,product_name,version_id,version_name,member_id,member_name,card_type,card_detail,release_date,visual_features,front_image_url,back_image_url
PM00001,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000001,S.COUPS,photocard,photocard 1,2015/09/05,,,
PM00002,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000001,S.COUPS,photocard,photocard 2,2015/09/05,,,
PM00003,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000002,JEONGHAN,photocard,photocard 1,2015/09/05,,,
PM00004,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000002,JEONGHAN,photocard,photocard 2,2015/09/05,,,
PM00005,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000003,JOSHUA,photocard,photocard 1,2015/09/05,,,
PM00006,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000003,JOSHUA,photocard,photocard 2,2015/09/05,,,
PM00007,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000004,JUN,photocard,photocard 1,2015/09/05,,,
PM00008,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000004,JUN,photocard,photocard 2,2015/09/05,,,
PM00009,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000005,HOSHI,photocard,photocard 1,2015/09/05,,,
PM00010,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000005,HOSHI,photocard,photocard 2,2015/09/05,,,
PM00011,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000006,WONWOO,photocard,photocard 1,2015/09/05,,,
PM00012,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000006,WONWOO,photocard,photocard 2,2015/09/05,,,
PM00013,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000007,WOOZI,photocard,photocard 1,2015/09/05,,,
PM00014,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000007,WOOZI,photocard,photocard 2,2015/09/05,,,
PM00015,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000008,THE 8,photocard,photocard 1,2015/09/05,,,
PM00016,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000008,THE 8,photocard,photocard 2,2015/09/05,,,
PM00017,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000009,MINGYU,photocard,photocard 1,2015/09/05,,,
PM00018,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000009,MINGYU,photocard,photocard 2,2015/09/05,,,
PM00019,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000010,DK,photocard,photocard 1,2015/09/05,,,
PM00020,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000010,DK,photocard,photocard 2,2015/09/05,,,
PM00021,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000011,SEUNGKWAN,photocard,photocard 1,2015/09/05,,,
PM00022,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000011,SEUNGKWAN,photocard,photocard 2,2015/09/05,,,
PM00023,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000012,VERNON,photocard,photocard 1,2015/09/05,,,
PM00024,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000012,VERNON,photocard,photocard 2,2015/09/05,,,
PM00025,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000013,DINO,photocard,photocard 1,2015/09/05,,,
PM00026,A000000,SEVENTEEN,P_KR001,BOYS BE,V_KR001_01,standard,A000013,DINO,photocard,photocard 2,2015/09/05,,,
PM00027,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000001,S.COUPS,photocard,photocard 1,2016/07/04,,,
PM00028,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000001,S.COUPS,photocard,photocard 2,2016/07/04,,,
PM00029,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000002,JEONGHAN,photocard,photocard 1,2016/07/04,,,
PM00030,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000002,JEONGHAN,photocard,photocard 2,2016/07/04,,,
PM00031,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000003,JOSHUA,photocard,photocard 1,2016/07/04,,,
PM00032,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000003,JOSHUA,photocard,photocard 2,2016/07/04,,,
PM00033,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000004,JUN,photocard,photocard 1,2016/07/04,,,
PM00034,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000004,JUN,photocard,photocard 2,2016/07/04,,,
PM00035,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000005,HOSHI,photocard,photocard 1,2016/07/04,,,
PM00036,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000005,HOSHI,photocard,photocard 2,2016/07/04,,,
PM00037,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000006,WONWOO,photocard,photocard 1,2016/07/04,,,
PM00038,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000006,WONWOO,photocard,photocard 2,2016/07/04,,,
PM00039,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000007,WOOZI,photocard,photocard 1,2016/07/04,,,
PM00040,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000007,WOOZI,photocard,photocard 2,2016/07/04,,,
PM00041,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000008,THE 8,photocard,photocard 1,2016/07/04,,,
PM00042,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000008,THE 8,photocard,photocard 2,2016/07/04,,,
PM00043,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000009,MINGYU,photocard,photocard 1,2016/07/04,,,
PM00044,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000009,MINGYU,photocard,photocard 2,2016/07/04,,,
PM00045,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000010,DK,photocard,photocard 1,2016/07/04,,,
PM00046,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000010,DK,photocard,photocard 2,2016/07/04,,,
PM00047,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000011,SEUNGKWAN,photocard,photocard 1,2016/07/04,,,
PM00048,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000011,SEUNGKWAN,photocard,photocard 2,2016/07/04,,,
PM00049,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000012,VERNON,photocard,photocard 1,2016/07/04,,,
PM00050,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000012,VERNON,photocard,photocard 2,2016/07/04,,,
PM00051,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000013,DINO,photocard,photocard 1,2016/07/04,,,
PM00052,A000000,SEVENTEEN,P_KR002,LOVE&LETTER REPACKAGE,V_KR002_01,standard,A000013,DINO,photocard,photocard 2,2016/07/04,,,
PM00053,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000001,S.COUPS,photocard,photocard,2016/10/03,,,
PM00054,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000002,JEONGHAN,photocard,photocard,2016/10/03,,,
PM00055,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000003,JOSHUA,photocard,photocard,2016/10/03,,,
PM00056,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000004,JUN,photocard,photocard,2016/10/03,,,
PM00057,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000005,HOSHI,photocard,photocard,2016/10/03,,,
PM00058,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000006,WONWOO,photocard,photocard,2016/10/03,,,
PM00059,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000007,WOOZI,photocard,photocard,2016/10/03,,,
PM00060,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000008,THE 8,photocard,photocard,2016/10/03,,,
PM00061,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000009,MINGYU,photocard,photocard,2016/10/03,,,
PM00062,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000010,DK,photocard,photocard,2016/10/03,,,
PM00063,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000011,SEUNGKWAN,photocard,photocard,2016/10/03,,,
PM00064,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000012,VERNON,photocard,photocard,2016/10/03,,,
PM00065,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_01,make a wish,A000013,DINO,photocard,photocard,2016/10/03,,,
PM00066,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000001,S.COUPS,photocard,photocard,2016/10/03,,,
PM00067,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000002,JEONGHAN,photocard,photocard,2016/10/03,,,
PM00068,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000003,JOSHUA,photocard,photocard,2016/10/03,,,
PM00069,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000004,JUN,photocard,photocard,2016/10/03,,,
PM00070,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000005,HOSHI,photocard,photocard,2016/10/03,,,
PM00071,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000006,WONWOO,photocard,photocard,2016/10/03,,,
PM00072,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000007,WOOZI,photocard,photocard,2016/10/03,,,
PM00073,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000008,THE 8,photocard,photocard,2016/10/03,,,
PM00074,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000009,MINGYU,photocard,photocard,2016/10/03,,,
PM00075,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000010,DK,photocard,photocard,2016/10/03,,,
PM00076,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000011,SEUNGKWAN,photocard,photocard,2016/10/03,,,
PM00077,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000012,VERNON,photocard,photocard,2016/10/03,,,
PM00078,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_02,make it happen,A000013,DINO,photocard,photocard,2016/10/03,,,
PM00079,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_03,make a seventeen,A000001,S.COUPS,photocard,photocard,2016/10/03,,,
PM00080,A000000,SEVENTEEN,P_KR003,GOING SEVENTEEN,V_KR003_03,make a seventeen,A000002,JEONGHAN,photocard,photocard,2016/10/03,,,
